experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp01_inference_angle,50,50,infer_50,0.7067307692307693,0.8524322099522633
subexp01_inference_angle,50,50,infer_50,0.7163461538461539,0.8506790093777263
subexp01_inference_angle,50,50,infer_50,0.7259615384615384,0.8519866558770828
subexp01_inference_angle,50,50,infer_50,0.7355769230769231,0.841462814646148
subexp01_inference_angle,50,50,infer_50,0.7451923076923077,0.8577912030600363
subexp01_inference_angle,50,50,infer_50,0.7548076923076923,0.8499022674853991
subexp01_inference_angle,50,50,infer_50,0.7644230769230769,0.8530646362762843
subexp01_inference_angle,50,50,infer_50,0.7740384615384616,0.8426725379181028
subexp01_inference_angle,50,50,infer_50,0.7836538461538461,0.8380090203209258
subexp01_inference_angle,50,50,infer_50,0.7932692307692307,0.8264382818173258
subexp01_inference_angle,50,50,infer_50,0.8028846153846154,0.8317782969432725
subexp01_inference_angle,50,50,infer_50,0.8125,0.8284374786203808
subexp01_inference_angle,50,50,infer_50,0.8221153846153846,0.8337439492293244
subexp01_inference_angle,50,50,infer_50,0.8317307692307693,0.8324312030636726
subexp01_inference_angle,50,50,infer_50,0.8413461538461539,0.8168514043579862
subexp01_inference_angle,50,50,infer_50,0.8509615384615384,0.8309501491215995
subexp01_inference_angle,50,50,infer_50,0.8605769230769231,0.8047406042848845
subexp01_inference_angle,50,50,infer_50,0.8701923076923077,0.8140290325410962
subexp01_inference_angle,50,50,infer_50,0.8798076923076923,0.794581191269941
subexp01_inference_angle,50,50,infer_50,0.8894230769230769,0.7821711713089562
subexp01_inference_angle,50,50,infer_50,0.8990384615384616,0.776796417004208
subexp01_inference_angle,50,50,infer_50,0.9086538461538461,0.7548596382451742
subexp01_inference_angle,50,50,infer_50,0.9182692307692307,0.7458766184948357
subexp01_inference_angle,50,50,infer_50,0.9278846153846154,0.7328593896024003
subexp01_inference_angle,50,50,infer_50,0.9375,0.7372227842528534
subexp01_inference_angle,50,50,infer_50,0.9471153846153846,0.7207188572033529
subexp01_inference_angle,50,50,infer_50,0.9567307692307693,0.7191588907266664
subexp01_inference_angle,50,50,infer_50,0.9663461538461539,0.7112693304090412
subexp01_inference_angle,50,50,infer_50,0.9759615384615384,0.6987494839031914
